需求编号,需求名称,指标,评分,原因与证据
6. 移动图形功能,移动图形功能,Verifiable（可验证）,5,可通过两种场景分别操作验证（如拖动图形→检查是否移动到指定位置），方法有限经济，符合“有限成本验证技术”定义。
7. 创建图层功能,创建图层功能,Unambiguous（无歧义）,5,明确“点击新页→创建新图层→当前层→提示编号→显示矩形→≤16层”的唯一流程，无歧义，符合“只有一种可能的解释”定义。
7. 创建图层功能,创建图层功能,Understandable（易懂）,5,按“操作-结果-限制”逻辑描述，表述直观，无复杂术语，所有SRS读者可轻松理解，符合“最少解释即可 comprehend”定义。
7. 创建图层功能,创建图层功能,Correctness（正确性）,5,准确描述图层管理的核心创建功能及数量限制，符合系统设计逻辑，无错误表述，符合“准确代表系统必需特性”定义。
7. 创建图层功能,创建图层功能,Verifiable（可验证）,5,可通过“点击新页→检查新图层状态”“创建16层后再点击→检查是否不创建”验证，方法有效，符合“有限成本验证技术”定义。
8. 管理图层功能,管理图层功能,Unambiguous（无歧义）,5,明确“点击下一页→切换当前层→提示编号；最后一层→第一层；切换后→矩形状态”的唯一流程，无歧义，符合“只有一种可能的解释”定义。
8. 管理图层功能,管理图层功能,Understandable（易懂）,5,分操作、特殊情况、后续状态描述，逻辑连贯，语言通俗，所有SRS读者可轻松理解，符合“最少解释即可 comprehend”定义。
8. 管理图层功能,管理图层功能,Correctness（正确性）,5,准确描述图层切换功能及特殊情况处理，符合图层管理的必需需求，无错误表述，符合“准确代表系统必需特性”定义。
8. 管理图层功能,管理图层功能,Verifiable（可验证）,5,可通过“多图层时点击下一页→检查切换结果”“最后一层点击→检查是否回到第一层”验证，方法可行，符合“有限成本验证技术”定义。
约束条件（1）,图形种类扩展约束,Unambiguous（无歧义）,5,仅说明“图形种类可扩展”，表述唯一，无多种解读，符合“只有一种可能的解释”定义。
约束条件（1）,图形种类扩展约束,Understandable（易懂）,5,一句话明确扩展方向，语言通俗，所有SRS读者可轻松理解，符合“最少解释即可 comprehend”定义。
约束条件（1）,图形种类扩展约束,Correctness（正确性）,5,准确反映图形编辑器的合理扩展需求，无错误表述，符合“准确代表系统必需特性（扩展特性）”定义。
约束条件（1）,图形种类扩展约束,Verifiable（可验证）,4,可通过“添加新图形种类→检查是否可创建”验证，方法有限经济，但未明确扩展数量的最低标准（如“至少添加1种”），存在 minor 改进空间，符合“基本满足预期，有少量改进空间”（Table 1 评分4定义）。
